date,id,content,username,like count,retweet count
2023-05-18 06:37:07+00:00,1659085689252716545,Free newsletters available: The Takeaway &amp; Week in Review Middle East Minute (AM) Daily Briefing (PM) Business &amp; Tech Briefing Security Briefing Gulf Briefing Israel Briefing #Palestine Briefing #Turkey Briefing #Iraq Briefing https://t.co/p1WgCd5hpp,ProNewsViews,0,0
2023-05-18 06:36:29+00:00,1659085532771614720,"May their flags and backs be broken tonight

 #Palestine",abuahma56986820,0,0
2023-05-18 06:35:21+00:00,1659085244748771328,"~There is a dry wind 🌬️blowing through the East, &amp; the parched grasses wait the spark.~ #Palestinian 🇵🇸#Palestine #Gaza 🇮🇱#Israel &amp; the #Palestinians r trapped in a strategic cul-de-sac w/ little promise of finding a way out. And a perfect storm is building... https://t.co/RSl4cdJlNY",genevieg02,4,3
2023-05-18 06:34:33+00:00,1659085042172215296,"#Apartheidisrael civilians 😀
Occupied #Palestine",Bsonja5,17,10
2023-05-18 06:22:07+00:00,1659081916694384640,"The forum on Palestine held at the International Islamic University Malaysia (IIUM) on the 12th of May 2023 hosted a panel distinguished of speakers and attendees from academia, NGOs, CSOs, think tanks and media. 
#Palestine #alaqsamosque #Forum #academicconference #iium #amec https://t.co/dLTl7oXBWK",amec4red,0,0
2023-05-18 06:20:45+00:00,1659081569829638144,"Clashes between Palestinians and Israeli soldiers leave several injured. 

#WestBank #Israel #Palestine #PeacefulResolution #Tensions

https://t.co/NWyfAeuVif https://t.co/iHDSUwDO2J",NewsmaxIndia,1,2
2023-05-18 06:20:35+00:00,1659081528859582465,"Starting dialogue on the Israeli-Palestinian Conflict
 #Israel  #Palestine #conflict #history #podcast https://t.co/OaYObs4srg",GlecklerTyler,0,0
2023-05-18 06:18:00+00:00,1659080878851604480,"Israel denies the Nakba ever occurred, while continuing to practise the same violence &amp; dispossession 75 years later    

Neve Gordon @nevegordon 

Israel Wants Palestinians to Remember the Nakba – But Not Commemorate It

  https://t.co/ViDwkNU2nd 

#Nakba #Palestine #Israel https://t.co/NpN82TikyL",BRAVENEWEUROPE1,2,3
2023-05-18 06:14:32+00:00,1659080006356676608,Palestine Land Theft #nakba75 #nakba #NakbaDay #Palestine #Palestinians #Land #property #properties #theft #stolen #map #israelioccupation #IsraeliApartheid #IsraeliCrimes #USA #US https://t.co/m0uYWqYHzB via @YouTube,dee4peace,0,0
2023-05-18 06:12:21+00:00,1659079456844050432,"Nakba 75: In my latest arguing  that
When it comes to solving this intricate conflict, it is the people who are showing more vision and pragmatism than their leaders, and this holds true on both sides of the Green Line,  #Israel #Palestine
https://t.co/uVvTsnYm1O",YMekelberg,0,0
2023-05-18 06:10:34+00:00,1659079009953619968,"Good morning from #Jerusalem! The eternal capital of the State of #Palestine.   

#FreePalestine https://t.co/wcDBsn82D1",WAFANewsEnglish,5,4
2023-05-18 06:09:49+00:00,1659078818089320448,"The solution of #Kashmir &amp; #Palestine issue is vry important4 complete&amp; lasting peace in the world. Unless there's an agreed solution to these problems, the desire to establish peace willn't b fulfilled.Cruelty &amp; injustice r not acceptable in anycase.
#COAS 
#BabarAzam𓃵 
#India",LiaqatRaja143,0,0
2023-05-18 06:05:52+00:00,1659077824043446273,Palestinian Man Describes Surviving The #nakba #nakba75 #palestine #westbank #Gaza #Survivor #Surviving #Catastrophe #IsraeliTerrorism #israelioccupation #IsraeliApartheid #Story #History #Facts #Truth #USA #news https://t.co/4WKgt0ggAB via @YouTube,dee4peace,0,0
2023-05-18 06:05:23+00:00,1659077703788527618,"(2/2) ... were ""shocked"" when they were forced to evacuate by Israeli forces who then proceeded to demolish the entire building before their eyes.

Find out more on our website.
https://t.co/bvygXqL3Si
#Palestine #Silwan #OCHA",J24FMPalestine,0,0
2023-05-18 06:04:40+00:00,1659077524234575872,"🇵🇸#Palestine || A Palestinian girl searches for her schoolbag and clothes among the rubble of her house, which was destroyed in the Israeli occupation forces' attacks on Gaza. https://t.co/vITNdkIqHi",HumanRightsQuds,0,2
2023-05-18 06:01:27+00:00,1659076715442733057,"🇵🇸#Palestine || Palestinian Salih, who has been a prisoner for 20 years, has been reunited with his mother today. https://t.co/uDL7ubml1S",HumanRightsQuds,1,2
2023-05-18 05:57:53+00:00,1659075818709041152,Listen 75 Seconds To Tell #nakba75 #Nakba #Palestine #Catastrophe #History #Education #Facts #Truth https://t.co/kfhMnSVi0y via @YouTube,dee4peace,0,0
2023-05-18 05:56:53+00:00,1659075565368885248,"Weekly Summary of boycott and anti-normalisation news.

#Palestine #Irland #Qatar #brazil #Australia 

#Normalization_betrayal https://t.co/T3Fh86FClr",Bancampaign1,0,0
2023-05-18 05:56:14+00:00,1659075402466304002,"#News: The New York’s state assembly will consider legislation aimed at preventing registered #USA charities from sending money to fund illegal #Israel Jewish settlements in the Occupied West Bank, #Palestine, The New York Post reported on Tuesday.

https://t.co/8O0SILiPux",Thatsenough0,5,2
2023-05-18 05:55:41+00:00,1659075264574267394,"Small thread about the fake cult called “Neturei Karta” 👇🏽

#Jews #Judaism #NetureiKarta #Israel 🇮🇱💙 #Filastin #Palestine #Cult #ArabIslamicIdeology",NathanHacham,0,0
2023-05-18 05:53:50+00:00,1659074796238282753,"Israeli #ARMY #occupation Demolish A #residential Building Housing 50 Palestinians in #Silwan Town, Occupied #Jerusalem Capital of #Palestine #FightRacism Stop #violence Against #Palestinians🇵🇸We Are All Equal No Difference Between Us Today #18May #FlagDay We need no #Racism Acts",DesaFinfe,0,0
2023-05-18 05:52:14+00:00,1659074396449824768,"Lies, lies, &amp; more lies. Abbas’s hate speech does nothing to end the conflict https://t.co/n22kCVnjMU Seek the truth and verify it! @UN #Palestine #Israel #History",davidslevine,1,0
2023-05-18 05:48:36+00:00,1659073479168217088,"#OnThisDay, 1999, the #Israel regime elected a new parliament and Ehud Barak as prime minister. His era was one of the most brutal against #Palestine and the Palestinians. #OTD https://t.co/zYZgVLDwUn",Thatsenough0,1,1
2023-05-18 05:47:01+00:00,1659073080663179266,"#Israel launched the blitz world war

An official Israeli body, the Israel Antiquities Authority, released a drawing this morning erasing #alAqsa Mosque and replacing it with an imaginary futuristic masonic Jewish Temple #Palestine

https://t.co/CzmvLcoYWZ",IntelligenceN7,0,0
